Questions,Correct,A,B,C,D
"Carbohydrates can be found in breads, cereals, fruits, and vegetables. Which of these compounds is not a carbohydrate?", Glycerol,Fructose,Cellulose,Starch,Glycerol
"Vitamin A plays an important role in vision, growth, healthy skin and hair, immune function, and reproduction. Which of these is not a significant source of Vitamin A?", Nuts and grains,Egg yolks,Nuts and grains,Dark leafy greens,Sweet potatoes
"The group of nutrients at the base of the Food Pyramid contains breads, grains, cereals, and pastas, so these foods should predominate in our diet. Which of these represents one serving from this group?", 1/2 cup cooked cereal,1 donut,1/2 cup cooked cereal,2 slices of bread,4 cookies
"Which cooking technique is considered to be best for preserving vitamins and minerals in meat and fish, during heat processing?", Roasting,Deep frying,Braising,Sauteing,Roasting
"This mineral, an important component of all living creatures cellular membranes, is one of the major minerals required in the structural composition of bones and teeth.", Phosphorus,Phosphorus,Iron,Potassium,Fluoride
"Which of these is a major problem concerning nutrition value of food, served at restaurants?", Oversized meals,Foods lacking whole grains and fibers,Oversized meals,Excess protein contents,Excess sodium contents
What is the largest artery in the body?, Aorta,Aorta,Carotid artery,Epicardium,Pulmonary artery
Which of the following is not a heart valve?, Carotid Valve,Carotid Valve,Tricuspid valve,Mitral Valve,Pulmonary Valve
Which of the following is not a function of the pericardium?, Receives blood returning to the heart from the superior and inferior vena cava,Keeps the heart contained in the chest cavity,Limits heart motion,Prevents the heart from over-expanding when blood volume increases,Receives blood returning to the heart from the superior and inferior vena cava
How many types of blood vessels are there?, 4,5,6,7,4
How many phases are there in a human cardiac cycle?, 2,3,2,1,4
What are the two largest veins in the body?, Vena cavae,Vena cavae,Pulmonary veins,Coronary veins,Atria
Where is the heart located?," Between the lungs, behind and slightly to the left of your breastbone.","On top of the lungs, behind and slightly to the left of your breastbone.","Beneath the lungs, behind and slightly to the left of your breastbone.","To the right of the lungs, behind and slightly to the left of your breastbone.","Between the lungs, behind and slightly to the left of your breastbone."
What are cardiac arrhythmias?, Abnormal rhythms of the heart,Abnormal rhythms of the heart,Whistling or swishing sounds,How fast your heart is beating,Normal rhythms of the heart
It may be stated that the process of thinking like an economist involves three basic issues. Which of the following is the odd one?, Economists deal only with items with explicit prices,"Economists explore the relationships between two variables, which hold other variables fixed.",Economists consider opportunity costs.,Economists think in marginal terms.,Economists deal only with items with explicit prices
"Which statement about the problem of scarcity, a central issue in economics, is true?", It is present when human wants exceed available resources.,It is present when human wants exceed available resources.,It exists only in market economies.,It could be eliminated if we could force prices to fall.,It is present when there is monopoly on the market.
"In economics, the marginal concept refers to producing or consuming a good at the margin of the total produced or consumed amount. Which question does not involve a marginal decision?"," If I hire ten workers to produce tables, what will be the average cost per table?",Is it worth $2 to buy this extra slice of pizza?,"If I drive slightly faster, what will be the change in my gasoline consumption?","If I hire ten workers to produce tables, what will be the average cost per table?","If I study for one more hour, by how much will it raise my grade?"
"In economics, opportunity cost is the difference between the yield that funds and resources earn in one use and the yield they could have earned had they been placed in an alternative investment.  Which of these factors has the most impact on opportunity cost?", Scarcity,Poverty,Unemployment,Scarcity,Consumer spending
The spillover effect (or externality effect) is a concept in economics related to the impact of a certain decision and the respective action. Which situation would involve a spillover effect?," A neighbour of yours repairs the sidewalk in front of his house, so the overall state of the neighbourhood pavement improves.","The hardware store gets an extra shipment of snow shovels, so they offer a buy one, get one free deal.","A neighbour of yours repairs the sidewalk in front of his house, so the overall state of the neighbourhood pavement improves.","The cost of magazines rises, so fewer and fewer people subscribe.","Termites cause excessive damage to your house, so you must pay to replace the adversely affected areas."
Which of these statements about the effect of specialization and trade on the market is most accurate?, It causes the consumption of more and better goods.,It causes an increase in production.,It boosts purchasing ability of the consumers.,It causes the consumption of more and better goods.,It affects World economics as a whole.
"In economics, the concept of opportunity cost is related to both the alternatives and decision-making. A friend offers you a Coke, a Pepsi, or a Diet Coke. You dont like Diet Coke, so after some thought, you take the Pepsi. In this case, what is the opportunity cost of your choice?", The Coke,The Pepsi,The Diet Coke,The Coke plus the Diet Coke,The Coke
"It is generally accepted, that economic market systems have proved to be so stable and efficient for which of these reasons?", They facilitate exchange and specialization.,Everyone pays the same amount in taxes.,People cannot be self-sufficient.,They facilitate exchange and specialization.,Producers cannot specialize without markets.
"What do we call the type of economy, where the government has an exclusive control over the production and distribution of goods and services?", Centrally planned economy,Communal economy,Market economy,Transitional economy,Centrally planned economy
The oldest known aromatherapy text describes a medical practice which relied on aromatics. It is from the Sumerian period and approximately this old., 3500 BC,2000 BC,3500 BC,2500 BC,1000 BC
"These compounds are emitted by plants and form gasses, which can be smelled.", Aromatics,Vapors,Odors,Aromatics,Oils
"These substances, present in some essential oils, slow down the development of bacteria.", Bacteriostatic,Bacterising,Bacteriostopping,Bacteriostatic,Bactericidal
Add 20 to 30 drops of essential oil to a 100ml bottle of spring or deionized water and leave it in a dark space for a few days. Then filter it to make this., Flower water,Bath oil,Flower water,Skin oil,Cold compress
Antiseptic oils are used to treat these., Cuts and insect bites,Poor circulation and listlessness,Heartburn and indigestion,Colds and congestion,Cuts and insect bites
You should dilute this amount of essential oil into 100ml (3.25 fl oz.) of base oil., 20 - 60 drops,100 - 150 drops,50 - 70 drops,30 - 80 drops,20 - 60 drops
"The physicians in this country can opt for education in aromatherapy, which would allow them to prescribe essential oils in their medical practice.", France,Germany,Switzerland,France,Greece
Malaleuca alternifolia is the Latin name of this plant., Tea tree,Sandalwood,Tea tree,Peppermint,Lavender
"Bergamot oil was discovered by this great explorer, born in Genoa, the son of a wool merchant and weaver.", Christopher Columbus,Christopher Columbus,Amerigo Vespucci,Fernando Magelan,Marco Polo
More than 2000 years ago this famous philosopher and founder of medicine stated that The way to health is an aromatic bath and scented oils massage every day., Hippocrates,Homer,Hippocrates,Anaximander,Pythagoras
What color are the eggs in the popular Dr. Suess book with the character Sam-I-am that was published in 1960?, Green,Green,Yellow,Blue,Red
